sport_id,sport,event_id
Q31920,swimming,Q117156569
Q31920,swimming,Q117156557
Q31920,swimming,Q117156567
Q31920,swimming,Q117156563
Q31920,swimming,Q117156573
Q31920,swimming,Q117156565
Q31920,swimming,Q117156575
Q31920,swimming,Q117156586
Q31920,swimming,Q117156588
Q31920,swimming,Q117156583
Q31920,swimming,Q117156555
Q31920,swimming,Q117156578
Q31920,swimming,Q117156560
Q31920,swimming,Q117156570
Q31920,swimming,Q117156576
Q31920,swimming,Q117156580
Q31920,swimming,Q117156488
Q31920,swimming,Q117156558
Q31920,swimming,Q117156568
Q31920,swimming,Q117156556
Q31920,swimming,Q117156566
Q31920,swimming,Q117156562
Q31920,swimming,Q117156572
Q31920,swimming,Q117156564
Q31920,swimming,Q117156574
Q31920,swimming,Q117156585
Q31920,swimming,Q117156587
Q31920,swimming,Q117156582
Q31920,swimming,Q117156554
Q31920,swimming,Q117156584
Q3930,table tennis,Q117156620
Q3930,table tennis,Q117156622
Q3930,table tennis,Q117156617
Q3930,table tennis,Q117156621
Q3930,table tennis,Q117156616
Q36389,taekwondo,Q116496086
Q36389,taekwondo,Q116496093
Q36389,taekwondo,Q116496096
Q36389,taekwondo,Q116496104
Q36389,taekwondo,Q116496080
Q36389,taekwondo,Q116496083
Q36389,taekwondo,Q116496090
Q36389,taekwondo,Q116496100
Q847,tennis,Q117156618
Q847,tennis,Q117156656
Q847,tennis,Q117156659
Q847,tennis,Q117156655
Q847,tennis,Q117156657
Q10980,triathlon,Q109317240
Q10980,triathlon,Q124673049
Q10980,triathlon,Q124672679
Q1734,volleyball,Q116496148
Q4543,beach volleyball,Q116496145
Q1734,volleyball,Q115799687
Q1734,volleyball,Q115799688
Q7707,water polo,Q115799685
Q7707,water polo,Q115800199
Q83462,weightlifting,Q116495990
Q83462,weightlifting,Q116495994
Q83462,weightlifting,Q116495998
Q83462,weightlifting,Q116495984
Q83462,weightlifting,Q116496001
Q83462,weightlifting,Q116495986
Q83462,weightlifting,Q116495987
Q83462,weightlifting,Q116495991
Q83462,weightlifting,Q116495995
Q83462,weightlifting,Q116496006
Q42486,wrestling,Q117156543
Q42486,wrestling,Q117156545
Q42486,wrestling,Q117156549
Q42486,wrestling,Q117156551
Q42486,wrestling,Q117156552
Q42486,wrestling,Q117156539
Q42486,wrestling,Q117156534
Q42486,wrestling,Q117156535
Q42486,wrestling,Q117156536
Q42486,wrestling,Q117156537
Q42486,wrestling,Q117156538
Q42486,wrestling,Q117156533
Q42486,wrestling,Q117156540
Q42486,wrestling,Q117156541
Q42486,wrestling,Q117156542
Q42486,wrestling,Q117156544
Q42486,wrestling,Q117156547
Q42486,wrestling,Q117156550
